minimum_clique_size,reciprocity_threshold,pair_id,subject,orcid,tier_type,clique_member
3,0.25,2,1,0000-0001-5003-1110,Case,True
3,0.25,8,1,0000-0001-5006-3358,Case,True
3,0.25,9,1,0000-0001-5006-8394,Case,True
3,0.25,16,1,0000-0001-5009-9799,Case,True
3,0.25,17,1,0000-0001-5010-6661,Case,True
3,0.25,19,1,0000-0001-5011-6288,Case,True
3,0.25,24,1,0000-0001-5013-0231,Case,True
3,0.25,25,1,0000-0001-5013-3360,Case,True
3,0.25,26,1,0000-0001-5013-3838,Case,True
3,0.25,32,1,0000-0001-5017-1674,Case,True
3,0.25,34,1,0000-0001-5017-7996,Case,True
3,0.25,36,1,0000-0001-5018-0271,Case,True
3,0.25,38,1,0000-0001-5019-4593,Case,True
3,0.25,40,1,0000-0001-5020-1343,Case,True
3,0.25,45,1,0000-0001-5021-5964,Case,True
3,0.25,47,1,0000-0001-5022-0413,Case,True
3,0.25,48,1,0000-0001-5022-3227,Case,True
3,0.25,50,1,0000-0001-5022-9952,Case,True
3,0.25,54,1,0000-0001-5026-0060,Case,True
3,0.25,55,1,0000-0001-5026-0992,Case,True
3,0.25,62,1,0000-0001-5028-5276,Case,True
3,0.25,63,1,0000-0001-5028-5938,Case,True
3,0.25,68,1,0000-0001-5029-9838,Case,True
3,0.25,69,1,0000-0001-5031-7637,Case,True
3,0.25,74,1,0000-0001-5034-8580,Case,True
3,0.25,79,1,0000-0001-5035-6396,Case,True
3,0.25,80,1,0000-0001-5036-1259,Case,True
3,0.25,83,1,0000-0001-5038-8339,Case,True
3,0.25,84,1,0000-0001-5038-9307,Case,True
3,0.25,86,1,0000-0001-5039-8473,Case,True
3,0.25,91,1,0000-0001-5042-3739,Case,True
3,0.25,94,1,0000-0001-5043-4315,Case,True
3,0.25,98,1,0000-0001-5046-4418,Case,True
3,0.25,100,1,0000-0001-5046-870X,Case,True
3,0.25,101,1,0000-0001-5047-2792,Case,True
3,0.25,103,1,0000-0001-5047-8035,Case,True
3,0.25,104,1,0000-0001-5047-8668,Case,True
3,0.25,106,1,0000-0001-5049-6559,Case,True
3,0.25,110,1,0000-0001-5052-912X,Case,True
3,0.25,113,1,0000-0001-5053-6602,Case,True
3,0.25,114,1,0000-0001-5054-0396,Case,True
3,0.25,116,1,0000-0001-5055-0885,Case,True
3,0.25,117,1,0000-0001-5055-7593,Case,True
3,0.25,119,1,0000-0001-5056-374X,Case,True
3,0.25,125,1,0000-0001-5059-0609,Case,True
3,0.25,129,1,0000-0001-5061-0139,Case,True
3,0.25,130,1,0000-0001-5061-0729,Case,True
3,0.25,139,1,0000-0001-5068-1201,Case,True
3,0.25,140,1,0000-0001-5068-5325,Case,True
3,0.25,141,1,0000-0001-5068-6643,Case,True
3,0.25,142,1,0000-0001-5068-7136,Case,True
3,0.25,144,1,0000-0001-5070-9606,Case,True
3,0.25,154,1,0000-0001-5074-3513,Case,True
3,0.25,159,1,0000-0001-5077-9225,Case,True
3,0.25,162,1,0000-0001-5078-8594,Case,True
3,0.25,165,1,0000-0001-5081-3390,Case,True
3,0.25,166,1,0000-0001-5081-3964,Case,True
3,0.25,168,1,0000-0001-5081-5492,Case,True
3,0.25,174,1,0000-0001-5085-4045,Case,True
3,0.25,175,1,0000-0001-5085-5187,Case,True
3,0.25,177,1,0000-0001-5087-0192,Case,True
3,0.25,181,1,0000-0001-5088-5538,Case,True
3,0.25,188,1,0000-0001-5093-4993,Case,True
3,0.25,191,1,0000-0001-5095-4046,Case,True
3,0.25,201,1,0000-0001-5098-2266,Case,True
3,0.25,208,1,0000-0001-5101-1007,Case,True
3,0.25,210,1,0000-0001-5101-9797,Case,True
3,0.25,213,1,0000-0001-5103-0304,Case,True
3,0.25,215,1,0000-0001-5103-5447,Case,True
3,0.25,216,1,0000-0001-5103-767X,Case,True
3,0.25,219,1,0000-0001-5106-6382,Case,True
3,0.25,222,1,0000-0001-5109-9862,Case,True
3,0.25,223,1,0000-0001-5111-2131,Case,True
3,0.25,225,1,0000-0001-5112-2188,Case,True
3,0.25,233,1,0000-0001-5115-6388,Case,True
3,0.25,234,1,0000-0001-5116-1291,Case,True
3,0.25,238,1,0000-0001-5119-0236,Case,True
3,0.25,242,1,0000-0001-5120-2620,Case,True
3,0.25,245,1,0000-0001-5121-6563,Case,True
3,0.25,251,1,0000-0001-5123-5289,Case,True
3,0.25,252,1,0000-0001-5123-5991,Case,True
3,0.25,254,1,0000-0001-5124-4580,Case,True
3,0.25,258,1,0000-0001-5127-1060,Case,True
3,0.25,262,1,0000-0001-5127-5088,Case,True
3,0.25,268,1,0000-0001-5129-9944,Case,True
3,0.25,269,1,0000-0001-5130-4782,Case,True
3,0.25,270,1,0000-0001-5130-8759,Case,True
3,0.25,272,1,0000-0001-5131-7401,Case,True
3,0.25,274,1,0000-0001-5132-1267,Case,True
3,0.25,289,1,0000-0001-5137-5345,Case,True
