minimum_clique_size,reciprocity_threshold,matched_pair_count,unique_member_count,case_member_count,control_member_count,case_membership_rate,control_membership_rate,paired_difference,case_only_pairs,control_only_pairs,discordant_pairs,both_member_pairs,neither_member_pairs,exact_p,subject
3,0.25,40439,16840,11329,5511,0.2801503499097406,0.13627933430599173,0.14387101560374885,9654,3836,13490,1675,25274,0.0,1
3,0.25,28045,9687,6153,3534,0.21939739704047068,0.12601176680335174,0.09338563023711893,5335,2716,8051,818,19176,1.486066965064384e-190,2
3,0.25,3383,605,404,201,0.11942063257463789,0.0594147206621342,0.06000591191250369,380,177,557,24,2802,4.875730975214555e-18,3
3,0.25,24879,4609,3711,898,0.14916194380803086,0.03609469833996543,0.11306724546806543,3572,759,4331,139,20409,0.0,4
3,0.25,5880,69,66,3,0.011224489795918367,0.0005102040816326531,0.010714285714285714,66,3,69,0,5811,1.857035033560328e-16,5
3,0.5,40439,9294,6712,2582,0.16597838720047478,0.06384925443260218,0.1021291327678726,6228,2098,8326,484,31629,0.0,1
3,0.5,28045,5071,3356,1715,0.11966482438937422,0.06115172044927795,0.05851310394009627,3130,1489,4619,226,23200,1.885516470918014e-131,2
3,0.5,3383,414,266,148,0.07862843629914278,0.0437481525273426,0.03488028377180018,253,135,388,13,2982,2.1637144960405825e-09,3
3,0.5,24879,2636,2134,502,0.08577515173439447,0.02017765987378914,0.06559749186060533,2097,465,2562,37,22280,3.189250531259375e-246,4
3,0.5,5880,65,62,3,0.01054421768707483,0.0005102040816326531,0.010034013605442177,62,3,65,0,5815,2.4842324378160363e-15,5
3,0.75,40439,1903,1319,584,0.03261702811642227,0.014441504488241549,0.018175523628180718,1294,559,1853,25,38561,5.879003842927181e-67,1
3,0.75,28045,1157,748,409,0.026671420930647175,0.01458370476020681,0.012087716170440365,739,400,1139,9,26897,6.100416175677255e-24,2
3,0.75,3383,213,109,104,0.032219923145137455,0.030741945019213717,0.001477978125923738,104,99,203,5,3175,0.7789880814174097,3
3,0.75,24879,906,725,181,0.029141042646408617,0.007275212026206841,0.021865830620201775,721,177,898,4,23977,1.5916626662895468e-78,4
3,0.75,5880,24,21,3,0.0035714285714285713,0.0005102040816326531,0.003061224489795918,21,3,24,0,5856,0.0002771615982055664,5
4,0.25,40439,15771,10977,4794,0.27144588145107446,0.11854892554217464,0.15289695590889982,9559,3376,12935,1418,26086,0.0,1
4,0.25,28045,8557,5667,2890,0.20206810483152077,0.10304867177750045,0.09901943305402032,5055,2278,7333,612,20100,2.5328855885027626e-236,2
4,0.25,3383,463,310,153,0.09163464380727165,0.04522613065326633,0.04640851315400532,293,136,429,17,2937,2.5873106495208506e-14,3
4,0.25,24879,3590,3001,589,0.12062381928534105,0.023674584991358175,0.09694923429398287,2933,521,3454,68,21357,0.0,4
4,0.25,5880,25,25,0,0.004251700680272109,0.0,0.004251700680272109,25,0,25,0,5855,5.960464477539063e-08,5
4,0.5,40439,8586,6429,2157,0.1589801923885358,0.05333959791290586,0.10564059447562996,6044,1772,7816,385,32238,0.0,1
4,0.5,28045,4344,2978,1366,0.10618648600463541,0.048707434480299516,0.0574790515243359,2811,1199,4010,167,23868,8.078838834434938e-147,2
4,0.5,3383,305,190,115,0.05616316878510198,0.03399349689624594,0.022169671888856046,181,106,287,9,3087,1.125282658937266e-05,3
4,0.5,24879,1917,1630,287,0.06551710277744283,0.011535833433819687,0.05398126934362314,1617,274,1891,13,22975,2.2162844537631126e-231,4
4,0.5,5880,25,25,0,0.004251700680272109,0.0,0.004251700680272109,25,0,25,0,5855,5.960464477539063e-08,5
4,0.75,40439,1510,1108,402,0.027399292761937734,0.009940898637453942,0.017458394124483793,1094,388,1482,14,38943,6.05067799129338e-78,1
4,0.75,28045,794,511,283,0.01822071670529506,0.010090925298627207,0.008129791406667853,506,278,784,5,27256,3.222925531311396e-16,2
4,0.75,3383,155,66,89,0.01950931126219332,0.026308010641442506,-0.006798699379249186,64,87,151,2,3230,0.07304915944161817,3
4,0.75,24879,478,408,70,0.016399372965151333,0.002813617910687729,0.013585755054463603,408,70,478,0,24401,4.596737551558976e-59,4
4,0.75,5880,8,8,0,0.0013605442176870747,0.0,0.0013605442176870747,8,0,8,0,5872,0.0078125,5
5,0.25,40439,11450,8961,2489,0.2215930166423502,0.06154949430005688,0.16004352234229333,8326,1854,10180,635,29624,0.0,1
5,0.25,28045,5265,3946,1319,0.14070244250311997,0.04703155642717062,0.09367088607594935,3746,1119,4865,200,22980,0.0,2
5,0.25,3383,313,211,102,0.062370676913981675,0.03015075376884422,0.032219923145137455,199,90,289,12,3082,1.2848011519827736e-10,3
5,0.25,24879,2077,1888,189,0.07588729450540617,0.007596768358856867,0.0682905261465493,1874,175,2049,14,22816,0.0,4
5,0.25,5880,0,0,0,0.0,0.0,0.0,0,0,0,0,5880,1.0,5
5,0.5,40439,6218,5106,1112,0.12626424985781054,0.02749820717624076,0.09876604268156979,4937,943,5880,169,34390,0.0,1
5,0.5,28045,2589,1998,591,0.07124264574790515,0.02107327509359957,0.05016937065430557,1954,547,2501,44,25500,2.452050293415054e-184,2
5,0.5,3383,189,112,77,0.033106710020691696,0.02276086313922554,0.010345846881466156,109,74,183,3,3197,0.011751828037832904,3
5,0.5,24879,1114,1025,89,0.0411994051207846,0.0035773142007315406,0.03762209092005306,1020,84,1104,5,23770,4.818360151768152e-205,4
5,0.5,5880,0,0,0,0.0,0.0,0.0,0,0,0,0,5880,1.0,5
5,0.75,40439,861,693,168,0.017136922277998963,0.004154405400727021,0.012982516877271942,691,166,857,2,39580,8.352069798309366e-77,1
5,0.75,28045,387,288,99,0.010269210197896238,0.003530041005526832,0.006739169192369407,288,99,387,0,27658,1.6637570987712004e-22,2
5,0.75,3383,100,31,69,0.009163464380727165,0.02039609813774756,-0.011232633757020397,31,69,100,0,3283,0.00018314322488235366,3
5,0.75,24879,230,203,27,0.008159491940994412,0.0010852526226938382,0.007074239318300574,203,27,230,0,24649,1.4629877850681863e-34,4
5,0.75,5880,0,0,0,0.0,0.0,0.0,0,0,0,0,5880,1.0,5
